# HELP mq:messagesReceived  
# TYPE mq:messagesReceived gauge
mq:messagesReceived{channelName="ADMIN.TLS.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 2753.0
mq:queueDepth{cluster="",queueManagerName="QMAP01",queueName="SERVICE.TEST",queueType="Local",usage="Normal",} 0.0
mq:queueDepth{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY",queueType="Local",usage="Normal",} 0.0
mq:queueDepth{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY2",queueType="Local",usage="Normal",} 0.0
mq:queueDepth{cluster="DEMOA",queueManagerName="QMAP01",queueName="SERVICEA.REQ",queueType="Local",usage="Normal",} 0.0
# HELP tomcat_sessions_alive_max_seconds  
# TYPE tomcat_sessions_alive_max_seconds gauge
tomcat_sessions_alive_max_seconds 0.0
# HELP jvm_threads_daemon The current number of live daemon threads
# TYPE jvm_threads_daemon gauge
jvm_threads_daemon 28.0
# HELP tomcat_global_received_bytes_total  
# TYPE tomcat_global_received_bytes_total counter
tomcat_global_received_bytes_total{name="http-nio-8082",} 0.0
# HELP tomcat_global_sent_bytes_total  
# TYPE tomcat_global_sent_bytes_total counter
tomcat_global_sent_bytes_total{name="http-nio-8082",} 54323.0
# HELP http_server_requests_seconds  
# TYPE http_server_requests_seconds summary
http_server_requests_seconds_count{exception="None",method="GET",status="200",uri="/actuator/prometheus",} 3.0
http_server_requests_seconds_sum{exception="None",method="GET",status="200",uri="/actuator/prometheus",} 1.6566853
# HELP http_server_requests_seconds_max  
# TYPE http_server_requests_seconds_max gauge
http_server_requests_seconds_max{exception="None",method="GET",status="200",uri="/actuator/prometheus",} 1.4137569
# HELP tomcat_threads_busy  
# TYPE tomcat_threads_busy gauge
tomcat_threads_busy{name="http-nio-8082",} 1.0
# HELP mq:bytesSent  
# TYPE mq:bytesSent gauge
mq:bytesSent{channelName="ADMIN.TLS.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 4458092.0
mq:bytesSent{channelName="APP01.DEMOA.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:bytesSent{channelName="APP01.REPLY.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:bytesSent{channelName="APP01.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:bytesSent{channelName="MQ.MONITOR.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:bytesSent{channelName="TO.QMAF01",channelType="ClusterSender",cluster="DEMOA",queueManagerName="QMAP01",} 0.0
mq:bytesSent{channelName="TO.QMAP01",channelType="ClusterReceiver",cluster="DEMOA",queueManagerName="QMAP01",} 0.0
# HELP mq:channelStatus  
# TYPE mq:channelStatus gauge
mq:channelStatus{channelName="ADMIN.TLS.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 3.0
mq:channelStatus{channelName="APP01.DEMOA.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:channelStatus{channelName="APP01.REPLY.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:channelStatus{channelName="APP01.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:channelStatus{channelName="MQ.MONITOR.SVRCONN",channelType="ServerConn",cluster="",queueManagerName="QMAP01",} 0.0
mq:channelStatus{channelName="TO.QMAF01",channelType="ClusterSender",cluster="DEMOA",queueManagerName="QMAP01",} 0.0
mq:channelStatus{channelName="TO.QMAP01",channelType="ClusterReceiver",cluster="DEMOA",queueManagerName="QMAP01",} 0.0
# HELP mq:openInputCount  
# TYPE mq:openInputCount gauge
mq:openInputCount{cluster="",queueManagerName="QMAP01",queueName="DEAD.LETTER.QUEUE",queueType="Local",usage="Normal",} 0.0
mq:openInputCount{cluster="",queueManagerName="QMAP01",queueName="IBM",queueType="Local",usage="Normal",} 0.0
mq:openInputCount{cluster="",queueManagerName="QMAP01",queueName="MICK",queueType="Local",usage="Normal",} 0.0
mq:openInputCount{cluster="",queueManagerName="QMAP01",queueName="SERVICE.TEST",queueType="Local",usage="Normal",} 0.0
mq:openInputCount{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY",queueType="Local",usage="Normal",} 0.0
mq:openInputCount{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY2",queueType="Local",usage="Normal",} 0.0
mq:openInputCount{cluster="DEMOA",queueManagerName="QMAP01",queueName="SERVICEA.REQ",queueType="Local",usage="Normal",} 0.0
# HELP process_start_time_seconds Start time of the process since unix epoch.
# TYPE process_start_time_seconds gauge
process_start_time_seconds 1.559714308054E9
# HELP jvm_classes_unloaded_total The total number of classes unloaded since the Java virtual machine has started execution
# TYPE jvm_classes_unloaded_total counter
jvm_classes_unloaded_total 0.0
# HELP tomcat_servlet_request_max_seconds  
# TYPE tomcat_servlet_request_max_seconds gauge
tomcat_servlet_request_max_seconds{name="default",} 0.0
# HELP logback_events_total Number of error level events that made it to the logs
# TYPE logback_events_total counter
logback_events_total{level="error",} 0.0
logback_events_total{level="warn",} 0.0
logback_events_total{level="info",} 46.0
logback_events_total{level="debug",} 0.0
logback_events_total{level="trace",} 0.0
# HELP tomcat_servlet_request_seconds  
# TYPE tomcat_servlet_request_seconds summary
tomcat_servlet_request_seconds_count{name="default",} 0.0
tomcat_servlet_request_seconds_sum{name="default",} 0.0
# HELP spring_integration_sources The number of message sources
# TYPE spring_integration_sources gauge
spring_integration_sources 0.0
# HELP tomcat_global_error_total  
# TYPE tomcat_global_error_total counter
tomcat_global_error_total{name="http-nio-8082",} 0.0
# HELP process_uptime_seconds The uptime of the Java virtual machine
# TYPE process_uptime_seconds gauge
process_uptime_seconds 264.544
# HELP jvm_gc_max_data_size_bytes Max size of old generation memory pool
# TYPE jvm_gc_max_data_size_bytes gauge
jvm_gc_max_data_size_bytes -1.0
# HELP jvm_buffer_count An estimate of the number of buffers in the pool
# TYPE jvm_buffer_count gauge
jvm_buffer_count{id="mapped",} 0.0
jvm_buffer_count{id="direct",} 9.0
# HELP tomcat_cache_access_total  
# TYPE tomcat_cache_access_total counter
tomcat_cache_access_total 0.0
# HELP tomcat_sessions_active_max  
# TYPE tomcat_sessions_active_max gauge
tomcat_sessions_active_max 0.0
# HELP jvm_gc_memory_promoted_bytes_total Count of positive increases in the size of the old generation memory pool before GC to after GC
# TYPE jvm_gc_memory_promoted_bytes_total counter
jvm_gc_memory_promoted_bytes_total 0.0
# HELP system_cpu_count The number of processors available to the Java virtual machine
# TYPE system_cpu_count gauge
system_cpu_count 4.0
# HELP jvm_gc_memory_allocated_bytes_total Incremented for an increase in the size of the young generation memory pool after one GC to before the next
# TYPE jvm_gc_memory_allocated_bytes_total counter
jvm_gc_memory_allocated_bytes_total 6104824.0
# HELP mq:listenerStatus  
# TYPE mq:listenerStatus gauge
mq:listenerStatus{listenerName="TCP.1442",port="1442",queueManagerName="QMAP01",type="2",} 2.0
# HELP tomcat_threads_current  
# TYPE tomcat_threads_current gauge
tomcat_threads_current{name="http-nio-8082",} 10.0
# HELP mq:commandServerStatus  
# TYPE mq:commandServerStatus gauge
mq:commandServerStatus{queueManagerName="QMAP01",} 2.0
# HELP jvm_memory_used_bytes The amount of used memory
# TYPE jvm_memory_used_bytes gauge
jvm_memory_used_bytes{area="nonheap",id="CodeHeap 'non-nmethods'",} 2478720.0
jvm_memory_used_bytes{area="nonheap",id="Metaspace",} 5.2487328E7
jvm_memory_used_bytes{area="nonheap",id="Compressed Class Space",} 6418608.0
jvm_memory_used_bytes{area="heap",id="G1 Eden Space",} 6.9206016E7
jvm_memory_used_bytes{area="heap",id="G1 Old Gen",} 2.4735056E7
jvm_memory_used_bytes{area="heap",id="G1 Survivor Space",} 8388608.0
jvm_memory_used_bytes{area="nonheap",id="CodeHeap 'non-profiled nmethods'",} 1.2900096E7
# HELP jvm_threads_live The current number of live threads including both daemon and non-daemon threads
# TYPE jvm_threads_live gauge
jvm_threads_live 40.0
# HELP tomcat_sessions_created_total  
# TYPE tomcat_sessions_created_total counter
tomcat_sessions_created_total 0.0
# HELP tomcat_cache_hit_total  
# TYPE tomcat_cache_hit_total counter
tomcat_cache_hit_total 0.0
# HELP spring_integration_handlers The number of message handlers
# TYPE spring_integration_handlers gauge
spring_integration_handlers 1.0
# HELP tomcat_global_request_seconds  
# TYPE tomcat_global_request_seconds summary
tomcat_global_request_seconds_count{name="http-nio-8082",} 3.0
tomcat_global_request_seconds_sum{name="http-nio-8082",} 2.104
# HELP tomcat_sessions_active_current  
# TYPE tomcat_sessions_active_current gauge
tomcat_sessions_active_current 0.0
# HELP tomcat_sessions_rejected_total  
# TYPE tomcat_sessions_rejected_total counter
tomcat_sessions_rejected_total 0.0
# HELP process_cpu_usage The "recent cpu usage" for the Java Virtual Machine process
# TYPE process_cpu_usage gauge
process_cpu_usage 0.005212474167362948
# HELP tomcat_threads_config_max  
# TYPE tomcat_threads_config_max gauge
tomcat_threads_config_max{name="http-nio-8082",} 200.0
# HELP tomcat_global_request_max_seconds  
# TYPE tomcat_global_request_max_seconds gauge
tomcat_global_request_max_seconds{name="http-nio-8082",} 1.836
# HELP jvm_memory_committed_bytes The amount of memory in bytes that is committed for the Java virtual machine to use
# TYPE jvm_memory_committed_bytes gauge
jvm_memory_committed_bytes{area="nonheap",id="CodeHeap 'non-nmethods'",} 2555904.0
jvm_memory_committed_bytes{area="nonheap",id="Metaspace",} 5.4263808E7
jvm_memory_committed_bytes{area="nonheap",id="Compressed Class Space",} 7077888.0
jvm_memory_committed_bytes{area="heap",id="G1 Eden Space",} 1.11149056E8
jvm_memory_committed_bytes{area="heap",id="G1 Old Gen",} 6.9206016E7
jvm_memory_committed_bytes{area="heap",id="G1 Survivor Space",} 8388608.0
jvm_memory_committed_bytes{area="nonheap",id="CodeHeap 'non-profiled nmethods'",} 1.2910592E7
# HELP mq:deQueued  
# TYPE mq:deQueued gauge
mq:deQueued{cluster="",queueManagerName="QMAP01",queueName="DEAD.LETTER.QUEUE",queueType="Local",usage="Normal",} 0.0
mq:deQueued{cluster="",queueManagerName="QMAP01",queueName="IBM",queueType="Local",usage="Normal",} 0.0
mq:deQueued{cluster="",queueManagerName="QMAP01",queueName="MICK",queueType="Local",usage="Normal",} 0.0
mq:deQueued{cluster="",queueManagerName="QMAP01",queueName="SERVICE.TEST",queueType="Local",usage="Normal",} 0.0
mq:deQueued{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY",queueType="Local",usage="Normal",} 0.0
mq:deQueued{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY2",queueType="Local",usage="Normal",} 0.0
mq:deQueued{cluster="DEMOA",queueManagerName="QMAP01",queueName="SERVICEA.REQ",queueType="Local",usage="Normal",} 0.0
# HELP jvm_gc_live_data_size_bytes Size of old generation memory pool after a full GC
# TYPE jvm_gc_live_data_size_bytes gauge
jvm_gc_live_data_size_bytes 0.0
# HELP tomcat_sessions_expired_total  
# TYPE tomcat_sessions_expired_total counter
tomcat_sessions_expired_total 0.0
# HELP jvm_gc_pause_seconds Time spent in GC pause
# TYPE jvm_gc_pause_seconds summary
jvm_gc_pause_seconds_count{action="end of minor GC",cause="G1 Evacuation Pause",} 3.0
jvm_gc_pause_seconds_sum{action="end of minor GC",cause="G1 Evacuation Pause",} 0.086
# HELP jvm_gc_pause_seconds_max Time spent in GC pause
# TYPE jvm_gc_pause_seconds_max gauge
jvm_gc_pause_seconds_max{action="end of minor GC",cause="G1 Evacuation Pause",} 0.0
# HELP jvm_threads_peak The peak live thread count since the Java virtual machine started or peak was reset
# TYPE jvm_threads_peak gauge
jvm_threads_peak 40.0
# HELP mq:queueManagerStatus  
# TYPE mq:queueManagerStatus gauge
mq:queueManagerStatus{cluster="DEMOA",queueManagerName="QMAP01",} 2.0
# HELP mq:openOutputCount  
# TYPE mq:openOutputCount gauge
mq:openOutputCount{cluster="",queueManagerName="QMAP01",queueName="DEAD.LETTER.QUEUE",queueType="Local",usage="Normal",} 0.0
mq:openOutputCount{cluster="",queueManagerName="QMAP01",queueName="IBM",queueType="Local",usage="Normal",} 0.0
mq:openOutputCount{cluster="",queueManagerName="QMAP01",queueName="MICK",queueType="Local",usage="Normal",} 0.0
mq:openOutputCount{cluster="",queueManagerName="QMAP01",queueName="SERVICE.TEST",queueType="Local",usage="Normal",} 0.0
mq:openOutputCount{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY",queueType="Local",usage="Normal",} 0.0
mq:openOutputCount{cluster="",queueManagerName="QMAP01",queueName="SERVICEA.REPLY2",queueType="Local",usage="Normal",} 0.0
mq:openOutputCount{cluster="DEMOA",queueManagerName="QMAP01",queueName="SERVICEA.REQ",queueType="Local",usage="Normal",} 0.0
# HELP jvm_classes_loaded The number of classes that are currently loaded in the Java virtual machine
# TYPE jvm_classes_loaded gauge
jvm_classes_loaded 9776.0
# HELP spring_integration_channels The number of message channels
# TYPE spring_integration_channels gauge
spring_integration_channels 2.0
